# E (eV)   ldos(E)   pdos(E)   
 -26.860  0.165E+00  0.165E+00
 -26.850  0.164E+00  0.164E+00
 -26.840  0.163E+00  0.163E+00
 -26.830  0.162E+00  0.162E+00
 -26.820  0.160E+00  0.160E+00
 -26.810  0.158E+00  0.158E+00
 -26.800  0.156E+00  0.156E+00
 -26.790  0.153E+00  0.153E+00
 -26.780  0.150E+00  0.150E+00
 -26.770  0.147E+00  0.147E+00
 -26.760  0.144E+00  0.144E+00
 -26.750  0.140E+00  0.140E+00
 -26.740  0.136E+00  0.136E+00
 -26.730  0.132E+00  0.132E+00
 -26.720  0.128E+00  0.128E+00
 -26.710  0.123E+00  0.123E+00
 -26.700  0.119E+00  0.119E+00
 -26.690  0.114E+00  0.114E+00
 -26.680  0.110E+00  0.110E+00
 -26.670  0.105E+00  0.105E+00
 -26.660  0.100E+00  0.100E+00
 -26.650  0.954E-01  0.954E-01
 -26.640  0.907E-01  0.907E-01
 -26.630  0.860E-01  0.860E-01
 -26.620  0.814E-01  0.814E-01
 -26.610  0.768E-01  0.768E-01
 -26.600  0.723E-01  0.723E-01
 -26.590  0.679E-01  0.679E-01
 -26.580  0.636E-01  0.636E-01
 -26.570  0.594E-01  0.594E-01
 -26.560  0.554E-01  0.554E-01
 -26.550  0.515E-01  0.515E-01
 -26.540  0.477E-01  0.477E-01
 -26.530  0.440E-01  0.440E-01
 -26.520  0.405E-01  0.405E-01
 -26.510  0.371E-01  0.371E-01
 -26.500  0.339E-01  0.339E-01
 -26.490  0.308E-01  0.308E-01
 -26.480  0.279E-01  0.279E-01
 -26.470  0.251E-01  0.251E-01
 -26.460  0.224E-01  0.224E-01
 -26.450  0.199E-01  0.199E-01
 -26.440  0.175E-01  0.175E-01
 -26.430  0.153E-01  0.153E-01
 -26.420  0.131E-01  0.131E-01
 -26.410  0.111E-01  0.111E-01
 -26.400  0.924E-02  0.924E-02
 -26.390  0.748E-02  0.748E-02
 -26.380  0.583E-02  0.583E-02
 -26.370  0.429E-02  0.429E-02
 -26.360  0.286E-02  0.286E-02
 -26.350  0.153E-02  0.153E-02
 -26.340  0.310E-03  0.310E-03
 -26.330 -0.813E-03 -0.813E-03
 -26.320 -0.184E-02 -0.184E-02
 -26.310 -0.277E-02 -0.277E-02
 -26.300 -0.362E-02 -0.362E-02
 -26.290 -0.437E-02 -0.437E-02
 -26.280 -0.504E-02 -0.504E-02
 -26.270 -0.563E-02 -0.563E-02
 -26.260 -0.614E-02 -0.614E-02
 -26.250 -0.658E-02 -0.658E-02
 -26.240 -0.694E-02 -0.694E-02
 -26.230 -0.723E-02 -0.723E-02
 -26.220 -0.746E-02 -0.746E-02
 -26.210 -0.763E-02 -0.763E-02
 -26.200 -0.774E-02 -0.774E-02
 -26.190 -0.780E-02 -0.780E-02
 -26.180 -0.780E-02 -0.780E-02
 -26.170 -0.777E-02 -0.777E-02
 -26.160 -0.768E-02 -0.768E-02
 -26.150 -0.756E-02 -0.756E-02
 -26.140 -0.741E-02 -0.741E-02
 -26.130 -0.723E-02 -0.723E-02
 -26.120 -0.702E-02 -0.702E-02
 -26.110 -0.678E-02 -0.678E-02
 -26.100 -0.653E-02 -0.653E-02
 -26.090 -0.627E-02 -0.627E-02
 -26.080 -0.599E-02 -0.599E-02
 -26.070 -0.570E-02 -0.570E-02
 -26.060 -0.541E-02 -0.541E-02
 -26.050 -0.511E-02 -0.511E-02
